CollegeName,Location,Course,Category,Rank,MerirMarks
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENC,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENC,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENC,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENC,Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENC,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENC,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (ARTIFICIAL INTELLIGENC,TFW,8995,77.20680162
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (CLOUD COMPUTING),DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (CLOUD COMPUTING),EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (CLOUD COMPUTING),EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (CLOUD COMPUTING),Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (CLOUD COMPUTING),SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (CLOUD COMPUTING),SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER ENGINEERING (CLOUD COMPUTING),TFW,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & BIOSCIENCES,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & BIOSCIENCES,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & BIOSCIENCES,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & BIOSCIENCES,Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & BIOSCIENCES,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & BIOSCIENCES,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & BIOSCIENCES,TFW,11989,70.11055818
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & ENGINEERING (CYBER SECUR,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & ENGINEERING (CYBER SECUR,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & ENGINEERING (CYBER SECUR,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & ENGINEERING (CYBER SECUR,Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & ENGINEERING (CYBER SECUR,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & ENGINEERING (CYBER SECUR,SEBC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,COMPUTER SCIENCE & ENGINEERING (CYBER SECUR,TFW,9798,75.33153435
Silver Oak College Of Engineering & Technology, AMHEDABAD,ELECTRONICS & COMMUNICATION ENGINEERING,DS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,ELECTRONICS & COMMUNICATION ENGINEERING,EVS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,ELECTRONICS & COMMUNICATION ENGINEERING,EWS,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,ELECTRONICS & COMMUNICATION ENGINEERING,Open,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,ELECTRONICS & COMMUNICATION ENGINEERING,SC,36000,0
Silver Oak College Of Engineering & Technology, AMHEDABAD,ELECTRONICS & COMMUNICATION ENGINEERING,SEBC,36000,0
